year,age,males,females
2020,0,1062493,1033226
2020,5,898669,876182
2020,10,775617,754026
2020,15,668192,648164
2020,20,574227,557986
2020,25,495355,485894
2020,30,411771,411095
2020,35,341296,347703
2020,40,272304,282220
2020,45,223431,234196
2020,50,182889,193173
2020,55,144689,154874
2020,60,106664,116253
2020,65,75996,84740
2020,70,46587,60493
2020,75,30451,41468
2020,80,14115,20521
2020,85,4842,7766
2020,90,1048,2025
2020,95,126,313
2020,100,9,24
