year,age,males,females
2020,0,2945573,2901462
2020,5,2537624,2517951
2020,10,2125504,2117195
2020,15,1717187,1721369
2020,20,1412320,1430047
2020,25,1225673,1251898
2020,30,1059254,1089922
2020,35,865850,900874
2020,40,683163,726370
2020,45,533719,587548
2020,50,431646,490029
2020,55,348910,391684
2020,60,258012,291906
2020,65,171223,202270
2020,70,101952,134874
2020,75,58325,88053
2020,80,28857,46884
2020,85,9950,16391
2020,90,2239,3618
2020,95,417,553
2020,100,91,87
