year,age,males,females
2020,0,1796030,1759164
2020,10,1533876,1530286
2020,20,1119118,1157719
2020,30,914631,951277
2020,40,484452,564514
2020,50,299594,368199
2020,60,188948,249690
2020,70,64748,103720
2020,80,21743,38643
