year,name,genotype,value
2015,cin3_types,16,0.22
2015,cin3_types,52,0.068
2015,cin3_types,18,0.068
2015,cin3_types,35,0.186
2015,cin3_types,33,0.017
2015,cin3_types,51,0.034
2015,cin3_types,58,0.034
2015,cin3_types,45,0.051
2015,cin3_types,56,0
2015,cin3_types,31,0.102
