year,name,genotype,value
2015,cancer_types,16,0.784
2015,cancer_types,18,0.182
2015,cancer_types,45,0.065
2015,cancer_types,52,0.1
2015,cancer_types,33,0.063
2015,cancer_types,51,0
2015,cancer_types,31,0.027
2015,cancer_types,35,0.039
2015,cancer_types,56,0.003
2015,cancer_types,58,0.096
