year,age,males,females
2020,0,1961162,1909408
2020,10,1443809,1402190
2020,20,1069582,1043880
2020,30,753067,758798
2020,40,495735,516416
2020,50,327578,348047
2020,60,182660,200993
2020,70,77038,101961
2020,80,20140,30649
