year,age,males,females
2020,0,1992102,1928331
2020,10,1561309,1515210
2020,20,1206944,1188145
2020,30,739188,785106
2020,40,424891,507190
2020,50,303160,368238
2020,60,180356,236703
2020,70,84253,119353
2020,80,25827,38838
