year,age,males,females
2020,0,4885348,4841664
2020,10,3675739,3681565
2020,20,2638738,2670955
2020,30,1747540,1835637
2020,40,1156300,1267016
2020,50,668587,794792
2020,60,345011,524900
2020,70,144350,219198
2020,80,31682,49207
