year,name,genotype,value
2015,cin1_prevalence_by_genotype,16,0.188
2015,cin1_prevalence_by_genotype,18,0
2015,cin1_prevalence_by_genotype,hi5,0.439
2015,cin1_prevalence_by_genotype,ohr,0.126
