year,age,males,females
2020,0,1586540,1536656
2020,5,1304159,1269345
2020,10,1079950,1051923
2020,15,907437,884892
2020,20,750530,736895
2020,25,571194,567253
2020,30,469792,469561
2020,35,394290,399110
2020,40,311672,317582
2020,45,244952,253998
2020,50,195919,210643
2020,55,156524,172540
2020,60,122683,138387
2020,65,91415,106077
2020,70,55096,66489
2020,75,29072,37480
2020,80,13852,19323
2020,85,4398,6548
2020,90,889,1591
2020,95,96,228
2020,100,5,18
