year,age,males,females
2020,0,1033086,1017655
2020,5,999938,990789
2020,10,835994,831861
2020,15,624395,623039
2020,20,481072,481869
2020,25,431674,436121
2020,30,415954,424089
2020,35,365287,377084
2020,40,260438,271023
2020,45,180175,188368
2020,50,131085,139736
2020,55,98264,108278
2020,60,79730,91778
2020,65,62025,75016
2020,70,34757,46583
2020,75,20121,29281
2020,80,9207,14543
2020,85,2846,5154
2020,90,487,1206
2020,95,46,139
2020,100,13,11
