year,name,genotype,value
2015,cin1_types,16,0.22
2015,cin1_types,52,0.038
2015,cin1_types,18,0.062
2015,cin1_types,35,0.038
2015,cin1_types,33,0.038
2015,cin1_types,51,0.038
2015,cin1_types,58,0.077
2015,cin1_types,45,0
2015,cin1_types,56,0.154
2015,cin1_types,31,0.154
