year,name,genotype,value
2015,cancer_types,16,0.481
2015,cancer_types,18,0.15
2015,cancer_types,31,0.026
2015,cancer_types,33,0.026
2015,cancer_types,45,0.159
2015,cancer_types,52,0.047
2015,cancer_types,35,0.01
2015,cancer_types,51,0.001
2015,cancer_types,56,0.001
2015,cancer_types,58,0.001
