year,name,genotype,value
2015,cancer_types,16,0.38
2015,cancer_types,18,0.19
2015,cancer_types,45,0.078
2015,cancer_types,52,0.009
2015,cancer_types,33,0.006
2015,cancer_types,51,0.016
2015,cancer_types,31,0.028
2015,cancer_types,35,0.012
2015,cancer_types,56,0.012
2015,cancer_types,58,0
