year,age,males,females
2020,0,594393,580861
2020,5,551769,541113
2020,10,509495,498266
2020,15,457464,447340
2020,20,394879,387468
2020,25,332893,327010
2020,30,281709,276411
2020,35,235549,231891
2020,40,193641,193716
2020,45,157791,160631
2020,50,127322,132168
2020,55,99601,106477
2020,60,73218,81750
2020,65,50432,59322
2020,70,33369,41859
2020,75,19565,25870
2020,80,8521,11971
2020,85,2594,4037
2020,90,498,907
2020,95,56,121
2020,100,3,8
