year,age,males,females
2020,0,632575,621535
2020,5,575789,565984
2020,10,516996,506182
2020,15,444529,434268
2020,20,379027,370417
2020,25,330461,322985
2020,30,289384,282501
2020,35,249716,244804
2020,40,212074,209590
2020,45,172269,172520
2020,50,135831,138554
2020,55,104678,109373
2020,60,78251,84095
2020,65,56430,62181
2020,70,36531,41093
2020,75,18937,21729
2020,80,7434,8934
2020,85,1895,2400
2020,90,240,346
2020,95,12,22
2020,100,0,0
