year,age,males,females
2020,0,840530,825106
2020,10,644229,636659
2020,20,442702,440572
2020,30,364855,365599
2020,40,271332,274657
2020,50,166542,175442
2020,60,80212,89034
2020,70,29559,36185
2020,80,7587,11362
