year,age,males,females
2020,0,1976837,1932832
2020,5,1692365,1655911
2020,10,1440360,1406032
2020,15,1177536,1145590
2020,20,916576,890510
2020,25,748892,726042
2020,30,640985,619284
2020,35,550606,530728
2020,40,442848,425837
2020,45,331411,322542
2020,50,240217,238054
2020,55,177554,180888
2020,60,137523,146349
2020,65,106031,118394
2020,70,73228,85400
2020,75,43174,52839
2020,80,17106,21510
2020,85,4528,6052
2020,90,548,878
2020,95,9,26
2020,100,0,0
