year,age,males,females
2020,0,2160209,2117066
2020,5,1874061,1850860
2020,10,1649691,1639981
2020,15,1402744,1397305
2020,20,1190527,1191652
2020,25,1058760,1065020
2020,30,916721,923340
2020,35,752663,758671
2020,40,589419,597086
2020,45,463705,473184
2020,50,360305,372809
2020,55,269066,285468
2020,60,193553,212157
2020,65,133931,153007
2020,70,90948,109515
2020,75,58467,72774
2020,80,30074,39496
2020,85,11868,15931
2020,90,3286,4361
2020,95,561,709
2020,100,61,65
