year,age,males,females
2020,0,2073064,2010488
2020,5,1871922,1826070
2020,10,1729862,1699535
2020,15,1519091,1497179
2020,20,1364166,1347351
2020,25,1152032,1142534
2020,30,930453,927690
2020,35,771492,771998
2020,40,674173,678561
2020,45,573744,581006
2020,50,445588,455329
2020,55,347155,359803
2020,60,271298,287340
2020,65,198388,216459
2020,70,115482,133695
2020,75,61274,76786
2020,80,32973,42533
2020,85,12964,17373
2020,90,2948,4375
2020,95,335,605
2020,100,15,37
