year,age,males,females
2020,0,425411,417032
2020,5,415119,408074
2020,10,357579,352991
2020,15,286650,283668
2020,20,236037,234457
2020,25,206665,206115
2020,30,192162,192791
2020,35,172693,172808
2020,40,150057,151088
2020,45,121275,123569
2020,50,95245,100137
2020,55,71297,75305
2020,60,49496,53475
2020,65,30716,35559
2020,70,18971,22873
2020,75,10588,13312
2020,80,5293,7513
2020,85,1799,2942
2020,90,443,804
2020,95,51,100
2020,100,1,3
