year,age,males,females
2020,0,5483197,5419413
2020,10,3842691,3838564
2020,20,2637993,2681945
2020,30,1925104,1990796
2020,40,1216882,1313918
2020,50,780556,881713
2020,60,429235,494176
2020,70,160277,222927
2020,80,41554,67533
