year,age,males,females
2020,0,1149743,1137361
2020,5,1112085,1117008
2020,10,952936,979886
2020,15,861278,914962
2020,20,703124,780749
2020,25,524184,632091
2020,30,455665,599778
2020,35,462416,583991
2020,40,337969,414475
2020,45,236555,302335
2020,50,156270,206908
2020,55,114861,153502
2020,60,103800,146677
2020,65,93737,132292
2020,70,60846,85702
2020,75,34099,50958
2020,80,15954,25885
2020,85,6864,12842
2020,90,2351,5560
2020,95,427,1290
2020,100,51,188
