year,age,males,females
2020,0,2929184,2845786
2020,10,2004485,1951918
2020,20,1339235,1321786
2020,30,861793,869049
2020,40,602060,617109
2020,50,357272,380423
2020,60,179283,202598
2020,70,66285,79204
2020,80,15433,21789
