year,age,males,females
2020,0,1281351,1249610
2020,5,1179501,1150583
2020,10,1038352,1014474
2020,15,882656,866428
2020,20,739480,736309
2020,25,629186,641731
2020,30,538277,567965
2020,35,448427,489404
2020,40,358174,405185
2020,45,274301,320148
2020,50,209875,252084
2020,55,160105,201398
2020,60,120117,159456
2020,65,91601,123700
2020,70,61490,85573
2020,75,39631,56527
2020,80,18512,28053
2020,85,5229,8997
2020,90,645,1483
2020,95,11,81
2020,100,0,0
